src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.29.67.13,185.125.190.57,50664,123,17,2025-10-25 01:24:44,0.027954,9658.725048293625,107.31916720326251,71.54611146884167,35.773055734420836,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.013977,0.027954,0.0,0.013977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
172.29.67.13,185.125.190.57,49074,123,17,2025-10-25 01:25:16,0.030021,8993.70440691516,99.930048965724,66.620032643816,33.310016321908,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.0150105,0.030021,0.0,0.0150105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
172.29.67.13,185.125.190.57,59286,123,17,2025-10-25 01:25:48,0.027583,9788.637929159266,108.76264365732517,72.50842910488345,36.254214552441724,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.0137915,0.027583,0.0,0.0137915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
172.29.67.13,185.125.190.57,58920,123,17,2025-10-25 01:26:20,0.028777,9382.492963130277,104.24992181255864,69.4999478750391,34.74997393751955,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.0143885,0.028777,0.0,0.0143885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
172.29.67.13,185.125.190.57,58432,123,17,2025-10-25 01:26:53,0.028103,9607.515211899086,106.75016902110096,71.16677934740063,35.58338967370032,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.0140515,0.028103,0.0,0.0140515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
172.29.67.13,185.125.190.57,42882,123,17,2025-10-25 01:27:25,0.026327,10255.63110115091,113.95145667945455,75.96763778630303,37.983818893151515,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.0131635,0.026327,0.0,0.0131635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
172.29.67.13,185.125.190.57,48940,123,17,2025-10-25 01:27:57,0.028125,9600.0,106.66666666666666,71.11111111111111,35.55555555555556,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.0140625,0.028125,0.0,0.0140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
172.29.67.13,172.29.64.1,36068,53,17,2025-10-25 01:28:21,0.081354,10694.003982594588,61.45979300341717,36.8758758020503,24.583917201366866,3,2,276,594,92,92,92.0,0.0,326,268,297.0,29.0,326,92,174.0,102.09015623457533,10422.4,60,40,20,3,0.020338500000000002,0.077782,0.0,0.03319674283344678,1.2e-05,1.2e-05,0.0,6e-06,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,297.0,0,3,2,276,594
172.29.67.13,20.42.65.88,46572,443,6,2025-10-25 01:28:21,1.123977,20934.592077951773,25.80123970508293,14.23516673383886,11.566072971244074,16,13,17507,6023,2922,66,1094.1875,1264.9637454661497,4410,66,463.3076923076923,1146.1056727098735,4410,66,811.3793103448276,1253.0387454117183,1570106.0975029732,320,260,20,9,0.04014203571428571,0.396685,0.0,0.08189409989757772,1.021976,0.397755,0.0,0.06813173333333335,0.10637356322286516,1.023103,0.439302,0.0,0.08525858333333335,0.11983082334167222,9,4,0,0,2,3,0,13,27,0,0,0.8125,811.3793103448276,64240,65535,0,0,0,0,0,0,0,0,15370.0,6.0,0,0,150102.0537711065753879508189,0,1094.1875,463.3076923076923,0,16,13,17507,6023
172.29.67.13,172.29.64.1,58891,53,17,2025-10-25 01:28:28,0.008184,106304.9853372434,610.9481915933528,366.5689149560117,244.37927663734115,3,2,276,594,92,92,92.0,0.0,326,268,297.0,29.0,326,92,174.0,102.09015623457533,10422.4,60,40,20,3,0.002046,0.005511,0.0,0.002255920322174522,8e-05,8e-05,0.0,4e-05,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,297.0,0,3,2,276,594
172.29.67.13,20.42.65.88,46582,443,6,2025-10-25 01:28:28,0.754282,17335.691425753233,27.84104618696986,15.909169249697063,11.931876937272797,12,9,7318,5758,2922,66,609.8333333333334,993.9678761855881,4410,66,639.7777777777778,1340.1672182378982,4410,66,622.6666666666666,1155.2099513707592,1334510.0317460317,240,180,20,5,0.0377141,0.159223,0.0,0.05347380763878705,0.646803,0.160014,0.0,0.05880027272727273,0.06473502754107548,0.651254,0.205472,0.0,0.08140675,0.06958766522299409,5,4,0,0,2,3,0,9,19,0,0,0.75,622.6666666666666,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.8333333333334,639.7777777777778,0,12,9,7318,5758
